Kategori	Byggnavn	Med i oversikten	ByggeÅr	Areal-2020	Areal-2019	Areal-2020
612-Barnehage	Aastahagen barnehage	1	2011	1796	1796	1796
612-Barnehage	Angelltrøa barnehage	1	1971	479	479	479
612-Barnehage	Blomsterbyen barnehage	1	2007	789	789	789
612-Barnehage	Brannhaugen Barnehage	1	2009	831	831	831
612-Barnehage	Brannåsen barnehage	0		336	336	0
612-Barnehage	Breidablikk barnehage	1	1969	288	288	288
612-Barnehage	Breidablikk utbyggingsområde- bygg D	1	2006	2143	2143	2143
612-Barnehage	Breidablikk-ny (nedre)-barnehage	1	2010	961	961	961
612-Barnehage	Brinken barnehage	1	1989	501	501	501
612-Barnehage	Bromstad barnehage	1	1989	496	496	496
612-Barnehage	Brøset Marikåpa barnehage	1	2007	876	876	876
612-Barnehage	Brøset Prestekragen barnehage	1	2007	618	618	618
612-Barnehage	Charlottenlund barnehage	1	1970	738	738	738
612-Barnehage	Ferista friluftsbarnehage	1	2011	724	724	724
612-Barnehage	Festningen barnehage	1	2010	807	807	807
612-Barnehage	Firkanten Barnehage	0		615	615	0
612-Barnehage	Furutoppen barnehage	1	1995	1143	1143	1143
612-Barnehage	Gartneriet barnehage	1	2008	2086	2086	2086
612-Barnehage	Gjørtlervegen barnehage	1	2006	2042	2042	2042
612-Barnehage	Granåsen barnehage	1	2016	1105	1105	1105
612-Barnehage	Grillstadfjæra barnehage	1	2013	1100	1100	1100
612-Barnehage	Haukåsen barnehage	1	2013	813	813	813
612-Barnehage	Havsteinaunet Gule barnehage	1	1991	553	553	553
612-Barnehage	Havsteinaunet røde barnehage	1	1980	311	311	311
612-Barnehage	Hesteskoen barnehage	0	2009	731	731	0
612-Barnehage	Huseby barnehage	1	1975	1318	1318	1318
612-Barnehage	Hårstad barnehage	1	2006	585	585	585
612-Barnehage	Ila barnehage	1	1840	1084	1084	1084
612-Barnehage	Iladalen barnehage	1	2005	869	869	869
612-Barnehage	Ilsvika barnehage	1	2004	100	100	100
612-Barnehage	Jotunheimen barnehage	1	1973	269	269	269
612-Barnehage	Kastbrekka barnehage	1	2010	1000	1000	1000
