Bygg	Fra	DX1	DX2	DX3	DX4	DX5	DX6	DY1	DY2	DY3	DY4	DY5	DY6	ETXMin	ETXMax	ETYMin	ETXMax	Grunnlast	ETColor	Navn
Trondheim Kommune - Angelltrøa barnehage	03.01.2000		-14	13	20				3472.75	766.4	766.4			-15	20	0	6000	790	0	ET-kurve fra Entros EOS
Trondheim Kommune - Angelltrøa barnehage	03.01.2011		-13.5	14.9	26.8				3423.3	511.5	488.3			-20	30	0	6000	473.4	0	Angelltrøa bhg 20.01.2017 HL
Trondheim Kommune - Angelltrøa barnehage	18.08.2014		-2.7	3.8	6	15.5	20		2387.6	1863.3	1300	720	720	-15	20	0	3000	720	7803FF	Angelltrøa bhg 20.01.2017 HL
Trondheim Kommune - Angelltrøa barnehage	01.01.2018			-13.6	0.2	13	20			2967	2149.1	754	754	-15	23	0	4000	754	0	20190503 ØL: Ny ET-kurve
Trondheim Kommune - Angelltrøa barnehage	31.12.2018			-13.6	0.2	13	20			2967	2149.1	754	754	-15	23	0	4000	754	0	27082019 SKB: Ny ET-kurve
Trondheim Kommune - Blomsterbyen barnehage	26.12.2011	-19.1	-12.8	-4.6	11.9	20.6		4619.1	3750.2	2668.6	923.6	906.6		-20	30	0	6000	985.9	06C02B	
Trondheim Kommune - Blomsterbyen barnehage	02.01.2012	-14.2	-7.6	-2	11.7	25.3		8220.6	7198.5	5887	1460	1289.7		-20	30	0	10000	1698.5	0	
Trondheim Kommune - Blomsterbyen barnehage	29.12.2014		-20	-2	12	20			8000	5500	1450	1400		-20	30	0	10000	1400	FF8800	20170116 ØL: Ny ET-kurve
Trondheim Kommune - Blomsterbyen barnehage	02.01.2017		-15	0	12	20			6754.7	4783.1	1400	1400		-15	20	0	10000	1400	0	20180412 ØL: Ny ET-kurve
Trondheim Kommune - Brannhaugen Barnehage	30.12.2013		-10.7	1.7	9.6	15	25		4465.6	2935.1	1484.7	1000	1000	-20	30	0	5000	1000	0	
Trondheim Kommune - Brannhaugen Barnehage	21.07.2014		-10.7	1.7	9.6	15	25		4465.6	2935.1	1484.7	1000	1000	-20	30	0	5000	1000	FF3B0A	
Trondheim Kommune - Brannhaugen Barnehage	29.12.2014		-10.7	1.7	9.6	15	25		4465.6	2935.1	1484.7	1000	1000	-20	30	0	5000	1000	0AFFAE	
Trondheim Kommune - Brannhaugen Barnehage	29.12.2014		-10.7	1.7	9.6	15	25		4465.6	2935.1	1484.7	1000	1000	-20	30	0	5000	885.5	FF3CB4	Lagt inn for å få grunnlast før 2016
Trondheim Kommune - Brannhaugen Barnehage	20.07.2015		-10.7	1.7	10.1	15	25		4465.6	2935.1	1616.8	1168.5	1168.5	-20	30	0	5000	1168.5	0	20171214 ØL: Ny ET-kurve
Trondheim Kommune - Brannhaugen Barnehage	21.11.2016				-13.3	12	20				2891.5	1100.6	1100.6	-15	20	0	4000	1100.6	0	20171215 ØL: Foreløpig kurve etter igangsetting av varmepumpe
Trondheim Kommune - Brannhaugen Barnehage	04.11.2019				-13.5	10	20				3300.6	962.2	962.2	-15	20	0	4000	962.2	0	191108 VS: Ny ET-kurve
Trondheim Kommune - Breidablikk barnehage	27.12.1999		-11.3	2	10	20.9			921.6	720	144	14.4		-20	25	0	5000	660	0	ET-kurve fra Entros EOS
Trondheim Kommune - Breidablikk barnehage	30.12.2013		-20	13.5	30				3750	550	550			-15	20	0	5000	550	0	20170116 ØL: Ny ET-kurve
Trondheim Kommune - Brinken barnehage	03.01.2000		-16	15	20				3907.8	901.8	901.8			-15	30	0	5000	870	0	ET hentet i fra Entros EOS
Trondheim Kommune - Brinken barnehage	29.11.2010		-15	13.5	30				4000	950	950			-15	30	0	5000	950	0	
Trondheim Kommune - Brinken barnehage	30.12.2013		-15	13.5	30				4300	900	900			-15	20	0	5000	900	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Brinken barnehage	29.12.2014	-11.7	7.5	14.5	30			4038.7	1545.3	1069.8	1069.8			-15	20	0	5000	1069.8	0	20170908 ØL: Ny ET-kurve
Trondheim Kommune - Brinken barnehage	02.01.2017	-13.8	6.6	14	30			4001	1601.9	1069.8	1069.8			-15	20	0	5000	1069.8	0	20180413 ØL: Ny ET-kurve
Trondheim Kommune - Bromstad barnehage	03.01.2000		-14	15	20				5059.2	901.8	901.8			-20	25	0	7000	1250	0	ET fra Entros EOS
Trondheim Kommune - Bromstad barnehage	29.12.2014		-15	15	30				4800	1100	1100			-15	20	0	6000	1100	FF46CA	Lagt inn for å få grunnlast før 2016
Trondheim Kommune - Bromstad barnehage	04.01.2016		-15	15	30				4800	1100	1100			-15	20	0	6000	1100	0	Ny ET-kurve
Trondheim Kommune - Bromstad barnehage	02.01.2017		-13.7	14	30				4777.4	805.7	805.7			-15	20	0	6000	805.7	0	20180612 ØL: Ny ET-kurve
Trondheim Kommune - Brøset Marikåpa barnehage	29.12.2014		-15	13.5	30				6500	1300	1300			-15	20	0	7500	1300	0	20170117 ØL: Ny ET-kurve
