Objekt,Navn,Type,Formel,UoM,Målernivå
Bygg,Trondheim Kommune - Ranheimsfjæra barnehage,,,,
Bygg,Trondheim Kommune - Hesteskoen barnehage,,,,
VIS-Måler,Temp middel,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Torvet,,,,
VIS-Måler,Fjernvarme 66217271,Fjernvarme,ESAVE_279829-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Temp middel,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Helsevakta,,,,
VIS-Måler,COP Kjølemaskin,Virkningsgrad,EID_942110464_00041/EID_942110464_00015,,Annen måler
VIS-Måler,Fastkraft 360.06,Fastkraft,EID_942110464_00024,kWh,Annen måler
VIS-Måler,Fastkraft 360.05,Fastkraft,EID_942110464_00023,kWh,Annen måler
VIS-Måler,Fastkraft 360.04,Fastkraft,EID_942110464_00022,kWh,Annen måler
VIS-Måler,Fastkraft 360.01 / 360.02,Fastkraft,EID_942110464_00019,kWh,Annen måler
VIS-Måler,Fastkraft til kjølemaskin,Fastkraft,EID_942110464_00015,kWh,Annen måler
VIS-Måler,Fastkraft 360.08,Fastkraft,EID_942110464_00014,kWh,Annen måler
VIS-Måler,Fastkraft 360.07,Fastkraft,EID_942110464_00013,kWh,Annen måler
VIS-Måler,Frikjøling bypass varmepumpe,Kjøling,EID_942110464_00043,kWh,Annen måler
VIS-Måler,Produsert kjøling kjølebatteri,Kjøling,EID_942110464_00041,kWh,Annen måler
VIS-Måler,Kjøling fancoils,Kjøling,EID_942110464_00039,kWh,Annen måler
VIS-Måler,Kjølebatteri ventilasjon,Kjøling,EID_942110464_00037,kWh,Annen måler
VIS-Måler,Gatevarme,Fjernvarme,EID_942110464_00035,kWh,Annen måler
VIS-Måler,Varmebatteri ventilasjon,Fjernvarme,EID_942110464_00034,kWh,Annen måler
VIS-Måler,Radiatorkurs,Fjernvarme,EID_942110464_00033,kWh,Annen måler
VIS-Måler,Varmt tappevann,Fjernvarme,EID_942110464_00032,kWh,Annen måler
VIS-Måler,Fjernvarme total,Fjernvarme,EID_942110464_00031,kWh,Annen måler
VIS-Måler,Trondheim VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 69191852,Fjernvarme,ESAVE_284350-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 6970631401219665,Fastkraft,707057500068999637,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Avanti,,,,
VIS-Måler,VOLL GRDG,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,VOLL MIDDEL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 268015369,Fastkraft,707057500068614509,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Uffa-huset Innherredsveien,,,,
VIS-Måler,VOLL GRDG,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,VOLL MIDDEL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 7350049085518834,Fastkraft,707057500068858439,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Buranhus AKKS musikksenter,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,VOLL GRDG,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,VOLL MIDDEL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 268015387,Fastkraft,707057500068614424,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Granåsen leir,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,VOLL GRDG,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,VOLL MIDDEL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 265953021,Fastkraft,707057500068449453,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Vidarheim dagsenter,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,VOLL GRDG,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,VOLL MIDDEL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 268024206,Fastkraft,707057500068615612,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Dalgård avlastningsbolig,,,,
